post,label
"In the Florida Republican primary, ""we got a very large percentage of the, quote, conservative vote.""",Deception
"Last year, Beaverton School District had the highest number of homeless students ever recorded in Oregon.",Deception
Martin Luther King Jr. was a Republican!,Deception
"Says Democrats racked up a $1 billion state deficit, while Republicans under Bill OBrien balanced the budget.",Deception
"Brendan Doherty wants to repeal Obamacare, increasing drug prices for seniors.",Deception
We have four combat-ready brigades out of 40 in the U.S. Army.,Deception
"Another one he should veto is the SCHIP program, which he should say 'Take the C out of, because now it's for everybody, like every other entitlement program.'",Deception
Says Georgia Democratic Senate hopeful Michelle Nunn supports higher taxes.,Deception
"Says President BarackObama has issued upwards of 1,000 executive orders, more than any modern president.",Deception
Common Core is being used by the Obama Administration to turn the Department of Education into what is effectively a national school board.,Deception
"We had people that were getting killed (in Benghazi), we had people who are willing to risk their lives to go save them, and somebody told them to stand down.",Deception
"Under our (2011-13) budget, the average (Wisconsin) property taxpayer will save $700.",Deception
Mitt Romney did not run his campaign on the basis of arguing his experience in the business world was a reason to vote for him.,Deception
"Ohios credit rating is as high as you can get, AA+.",Deception
Says Bill White is for gay marriage.,Deception
Our numbers are going up at the airport.,Deception
On whether state employees should contribute to their pensions.,Deception
Chemical weapons have been used probably 20 times since the Persian Gulf War.,Deception
The health care price tag for childhood obesity in Georgia is $2.4 billion annually and rising.,Deception
Martin Luther King Jr. was a Republican.,Deception
"During the Monica Lewinsky scandal, the Clintons brought the Rev. Jeremiah Wright to the White House for ""spiritual counseling.""",Deception
Says George Norcross said the TAKEOVER OF RUTGER$ CAMDEN WILL COST NEW JER$EY BILLION$.,Deception
"Under the Affordable Care Act, anyone on Medicare who is admitted to a hospital for observation will be responsible for the bill. Medicare wont pay a cent.",Deception
"Says Arizona, Missouri and Texas residents have a two-pet limit, so the public must surrender their third pet to the Humane Society.",Deception
Says only about 2 percent of gunsales in Virginia are not subject to background checks.,Deception
Obama will charge a 28 percent tax on all home sales.,Deception
"Says Sen. Robert Cowles, her recall opponent, supported the sale of state-owned power plants not to the highest bidder, but to the biggest donors with no oversight.",Deception
"Im running against a groundhog. He saw his shadow on the primary day, and no one has seen him since.",Deception
"The U.S. ""only ranks 25th worldwide on defense spending as a percentage of GDP.""",Deception
"Boyce gave (a lobbyists) wife a sensitive job in the treasurers office, a job Boyce admitted he only made available at their mosque.",Deception
"The brutal fact is, when it comes to education, America is slipping behind other nations.",Deception
Says Dan Sullivan approved a light sentence for a sex offenderwho got out of prison andis now charged with a gruesome murder and sexual assault.,Deception
The debt is nearly $6 trillion more than when President Obama was sworn into office.,Deception
Super Bowl L by everybodys estimation is a $500 million economic impact to the state of Florida.,Deception
There is long historical precedent for a Supreme Court with fewer justices.,Deception
The families that are covered through the Low Income Pool is a different group of individuals than are covered by Obamacare.,Deception
"In Wisconsin, teachers make $89,000 in salary and benefits, compared to $48,000 for all other workers in the United States.",Deception
"Despite the administration telling us (health care reform) was going to reduce health care costs, they now acknowledge its going to dramatically increase health care costs.",Deception
"The Dodd-Frank financial-reform laws hundreds of new rules will force small banks and credit unions to burn up an estimated 2,260,631 labor hours just for compliance.",Deception
Says Al Franken voted to exempt himself and Congress from enrolling in (the Affordable Care Act marketplaces).,Deception
(Bill) Ayers and Obama ran a radical education foundation together.,Deception
"When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).",Deception
Most polls show foreign nations have lower regard for the U.S. now than they did before Obamas time.,Deception
"Every citizen is entitled to the freedom of speech, but no one should have the right to use government funds or institutions to portray acts that are morally reprehensible to the vast majority of Americans.",Deception
